Training Data Ratio,Training Data Size,Model,Accuracy,Precision,Recall,F1,Train Time (s),Inference Time (s)
20%,5000,TF-IDF + Naive Bayes,0.83612,0.8606128229336537,0.80216,0.830358991346114,2.2657594680786133,4.6556971073150635
20%,5000,TF-IDF + Logistic Regression,0.85512,0.8448034798819326,0.87008,0.857255458343186,2.3223769664764404,4.645488739013672
20%,5000,DistilBERT,0.89476,0.8778041497588239,0.9172,0.8970697547044325,715.9010119438171,220.16496348381042
50%,12500,TF-IDF + Naive Bayes,0.84488,0.8631233153638814,0.81976,0.8408829804693911,5.536825180053711,4.290586471557617
50%,12500,TF-IDF + Logistic Regression,0.87096,0.8643721515008643,0.88,0.872116070720685,5.082062721252441,4.281755685806274
50%,12500,DistilBERT,0.90532,0.9048989051386558,0.90584,0.9053692080118338,1129.4347791671753,222.12323570251465
100%,25000,TF-IDF + Naive Bayes,0.84984,0.8648423160353746,0.82928,0.8466879032916769,9.649062156677246,4.096136093139648
100%,25000,TF-IDF + Logistic Regression,0.88284,0.879952362048432,0.88664,0.8832835226140665,10.305944681167603,4.292568206787109
100%,25000,DistilBERT,0.91372,0.9063408501610749,0.9228,0.9144963729337614,1810.6764779090881,219.14157366752625
